"HolderAddress","Balance","PendingBalanceUpdate"
"0x038000ee14b091fcae000a58a1fbabb0622a4668","10","No"
"0x041c5c8c8da8d5f8dc51fbf331dd514201ff9ee0","10","No"
"0x31daa78ee90ad24795574656850cd54befcd8fec","999990","No"
"0x70f9203e5c131261941e8657ab92377da81c2b04","10","No"
"0x94c4c1b0d9d6569a181811ec3d1b3c96dabfc494","998000","No"
"0x95f2c938a5ee94816a1ab3f094a39e39531a6d2e","987987955","No"
"0x9c94f63812e81a2b2e183a85b522492733f0a1a9","12000","No"
"0x9def33a867fc3025df24e4a2a9d94ba905f656c1","10","No"
"0x9fc1ce45715206ebfac6b4ec169f34adb97b26ce","10","No"
"0xa4b34ae043d52faace0b278cd56148af0d21f1e3","9999995","No"
"0xee0a47a834784f1bb4b6cb6468dc738feccc0902","10","No"
"0xfee7ba3e72267ff7469f36a863b6ce8540d341e5","2000","No"
